cz_name,cz_dates,viaf_id,nkc_id,birth,death,debut,firsttrans,langdict
"Souček, Ludvík",1926-1978,102032177,jk01120474,1926,1978,1951,,
"Součková, Milada",1899-1983,92629972,jz8001161,1899,1983,1934,,
"Soukupová, Petra",1982-,2274878,xx0067507,1982,,2007,,
"Sova, Antonín",1864-1928,61679211,jk01120593,1864,1928,1880,,
"Špaček, Ladislav",1949-,5547667,jn20000402870,1949,,2005,,
"Spáčil, Jindřich",1899-1978,57427172,jk01120637,1899,1978,1919,,
"Špalek, Vilém",1904-,30984147,jo2007274778,1904,,0,,
"Špidlík, Tomáš",1919-2010,24608237,jn19990218115,1919,2010,1991,,
"Šrámek, Fráňa",1877-1952,8183959,jk01130973,1877,1952,1903,,
"Šrámková, Jana",1982-,90554167,jo2008416241,1982,,2008,,
"Šrut, Pavel",1940-2018,44552314,jk01131041,1940,2018,1964,,
"Staněk, Jiří",1957-,4246325,jn20000402269,1957,,1991,,
